Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
Call;13,679 €;19 mars 10;0,67 € (c);0,68 € (c);1,96/1;63,2 %;6,83;6112S;FR0010731802;08/02/2010 17:26:45
Call;16 €;19 mars 10;0,08 € (c);0,09 € (c);4/1;23,4 %;9,80;0781S;FR0010837757;08/02/2010 16:57:59
Call;17,587 €;19 mars 10;0,01 € (c);0,03 € (c);3,91/1;9,2 %;16,96;6678S;FR0010773911;08/02/2010 11:11:32
Call;19,542 €;19 mars 10;0,01 € (c);0,03 € (c);3,91/1;1,3 %;2,45;9961S;FR0010723601;08/02/2010 09:05:03
Call;21,496 €;19 mars 10;0,01 € (c);0,03 € (c);3,91/1;0,2 %;0,34;9607S;FR0010694406;08/02/2010 09:05:03
Call;24,427 €;19 mars 10;--;--;3,91/1;--;--;8718S;FR0010643023;27/01/2010 09:03:50
Call;31,267 €;19 mars 10;--;--;4,89/1;--;--;3350S;FR0010594655;27/01/2010 09:03:51
Call;17 €;18 juin 10;0,24 € (c);0,25 € (c);2/1;22,6 %;6,56;0937S;FR0010852772;08/02/2010 17:29:49
Call;18 €;18 juin 10;0,08 € (c);0,09 € (c);4/1;16 %;6,74;0647S;FR0010836411;08/02/2010 17:14:31
Call;19,542 €;18 juin 10;0,02 € (c);0,04 € (c);3,91/1;7,9 %;9,71;6432S;FR0010759043;08/02/2010 11:37:18
Call;21,496 €;18 juin 10;0,01 € (c);0,03 € (c);3,91/1;3 %;5,61;0494S;FR0010817544;08/02/2010 09:05:03
Call;23,45 €;18 juin 10;0,01 € (c);0,03 € (c);3,91/1;0,9 %;1,64;0495S;FR0010817551;08/02/2010 09:05:03
Call;17 €;17 sept. 10;0,42 € (c);0,43 € (c);2/1;29,8 %;5,00;0938S;FR0010852780;08/02/2010 17:28:36
Call;19,542 €;17 sept. 10;0,08 € (c);0,09 € (c);3,91/1;12,9 %;5,51;0082S;FR0010796672;08/02/2010 16:49:10
Call;21,496 €;17 sept. 10;0,02 € (c);0,04 € (c);3,91/1;6,7 %;8,19;0083S;FR0010796680;08/02/2010 17:29:07
Call;23,45 €;17 sept. 10;0,01 € (c);0,03 € (c);3,91/1;3,5 %;6,53;0496S;FR0010817569;08/02/2010 09:04:59
Call;8,794 €;17 déc. 10;1,40 € (c);1,45 € (c);3,91/1;88,1 %;2,25;6219S;FR0010737098;08/02/2010 17:29:52
Call;14,656 €;17 déc. 10;0,98 € (c);0,99 € (c);1,96/1;51,4 %;3,81;6113S;FR0010731810;08/02/2010 17:28:36
Call;18 €;17 déc. 10;0,22 € (c);0,23 € (c);4/1;28,5 %;4,54;0939S;FR0010852798;08/02/2010 17:14:52
Call;19,542 €;17 déc. 10;0,13 € (c);0,14 € (c);3,91/1;17,5 %;4,68;9962S;FR0010723619;08/02/2010 16:42:18
Call;22,473 €;17 déc. 10;0,04 € (c);0,06 € (c);3,91/1;8,1 %;5,97;9608S;FR0010694414;08/02/2010 17:14:05
Call;25,404 €;17 déc. 10;0,01 € (c);0,03 € (c);3,91/1;3,3 %;6,11;8719S;FR0010643031;08/02/2010 09:04:59
Call;33,221 €;17 déc. 10;--;--;4,89/1;--;--;3351S;FR0010594663;27/01/2010 09:16:42
Call;14,656 €;18 mars 11;0,58 € (c);0,59 € (c);3,91/1;53,4 %;3,33;6220S;FR0010737106;08/02/2010 17:26:45
Call;18 €;18 mars 11;0,29 € (c);0,30 € (c);4/1;32,5 %;3,94;0648S;FR0010836429;08/02/2010 17:24:08
Call;20 €;18 mars 11;0,17 € (c);0,18 € (c);4/1;22 %;4,49;0782S;FR0010837765;08/02/2010 17:26:45
Call;22,473 €;18 mars 11;0,08 € (c);0,09 € (c);3,91/1;11,4 %;4,93;9963S;FR0010723627;08/02/2010 17:23:04
Call;26,381 €;18 mars 11;0,02 € (c);0,04 € (c);3,91/1;3,6 %;4,42;8720S;FR0010643049;08/02/2010 16:55:46
Call;35,175 €;18 mars 11;0,01 € (c);0,03 € (c);4,89/1;0,3 %;0,42;3355S;FR0010594671;08/02/2010 09:58:27
Call;19,542 €;16 mars 12;0,83 € (c);0,84 € (c);1,96/1;34,9 %;3,06;6115S;FR0010731836;08/02/2010 17:23:44
Call;25 €;16 mars 12;0,18 € (c);0,19 € (c);4/1;17,3 %;3,34;0649S;FR0010836437;08/02/2010 17:14:31
Call;29,312 €;16 mars 12;0,06 € (c);0,07 € (c);3,91/1;6,9 %;3,77;9964S;FR0010723635;08/02/2010 15:59:20
Call;34,198 €;16 mars 12;0,02 € (c);0,04 € (c);3,91/1;4 %;4,88;9314S;FR0010676965;08/02/2010 09:01:57
Call;19,542 €;15 mars 13;0,53 € (c);0,54 € (c);3,91/1;39,5 %;2,69;6221S;FR0010737114;08/02/2010 17:29:07
Call;25 €;15 mars 13;0,31 € (c);0,32 € (c);4/1;25,1 %;2,86;0783S;FR0010837773;08/02/2010 17:14:46
Call;32,244 €;15 mars 13;0,11 € (c);0,12 € (c);3,91/1;9,8 %;3,07;9965S;FR0010723643;08/02/2010 16:28:41
Call;36,152 €;15 mars 13;0,08 € (c);0,09 € (c);3,91/1;6,7 %;2,84;8721S;FR0010643056;08/02/2010 16:43:01
Call;30 €;21 mars 14;0,31 € (c);0,32 € (c);4/1;21,8 %;2,48;0650S;FR0010836445;08/02/2010 17:14:46
;;;;;;;;;;
BNP PARIBAS  47,515 €;;;;;;;;;;
Call;29,16 €;19 mars 10;3,75 € (s);3,86 € (s);4,86/1;--;--;6120S;FR0010731885;08/02/2010 16:59:04
